,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,y
202,31,9,2,1,-2,0,0,29,1,131,2,-1,no
203,42,4,0,2,16,0,0,19,9,140,3,-1,no
204,36,4,1,2,5057,1,0,17,9,70,1,166,no
205,40,0,1,1,0,1,0,15,8,13,8,366,no
206,39,9,1,3,880,1,0,16,8,29,1,-1,no
207,31,4,1,2,10088,0,0,8,1,72,6,-1,no
208,46,1,1,1,836,0,0,27,1,199,4,-1,no
209,56,4,1,2,0,0,1,20,6,422,1,-1,no
210,43,9,1,1,253,0,0,21,1,111,5,-1,no
211,33,1,2,1,498,0,0,30,0,301,1,-1,no
212,28,9,2,1,389,1,0,11,8,15,7,-1,no
213,41,9,2,1,214,0,0,11,1,228,2,-1,no
214,42,1,1,0,517,1,0,31,5,101,7,-1,no
215,65,5,1,0,2173,0,0,15,4,543,4,276,no
216,52,7,1,1,1351,1,0,6,3,11,3,-1,no
217,47,1,0,0,1279,1,0,6,3,479,2,-1,no
218,36,4,1,2,0,0,0,26,1,97,3,-1,no
219,37,1,1,1,125,0,0,26,8,679,2,-1,no
220,59,5,1,1,2126,0,0,18,7,359,1,343,no
221,49,1,1,1,64,1,0,7,8,293,3,-1,no
222,29,0,0,1,120,0,1,3,3,197,1,-1,no
223,41,0,2,1,1020,1,0,19,8,882,1,-1,no
224,33,4,1,2,519,0,0,12,1,260,3,-1,no
225,46,1,1,0,369,1,0,13,8,916,2,-1,no
226,33,2,1,2,595,0,0,7,1,22,2,-1,no
227,28,1,2,1,-127,1,0,4,5,1044,3,-1,yes
228,22,8,2,3,1215,0,0,11,1,154,1,-1,no
229,46,1,1,1,0,1,0,26,8,208,2,-1,no
230,34,10,1,2,473,0,0,28,1,94,11,-1,no
231,52,9,1,1,230,1,1,21,9,89,4,-1,no
232,53,5,2,2,888,1,0,9,5,128,1,-1,no
233,43,4,1,2,724,1,0,29,8,138,1,-1,no
234,27,1,2,1,-2,1,1,14,8,123,5,-1,no
235,54,0,1,1,1326,1,0,11,6,105,2,-1,no
236,40,9,2,1,2244,0,1,20,1,58,2,-1,no
237,30,10,2,2,306,0,0,6,3,90,6,256,no
238,55,1,2,1,82,0,1,7,5,500,1,-1,no
239,31,1,2,1,1882,0,0,7,8,529,2,-1,no
240,40,9,0,2,0,0,0,17,6,522,1,-1,no
241,45,4,0,2,3150,1,0,17,9,101,2,-1,no
242,26,8,2,1,108,0,0,21,10,235,1,175,no
243,35,0,1,1,332,0,0,9,5,199,2,-1,no
244,46,9,2,2,4414,0,0,18,1,504,7,-1,no
245,34,1,1,1,516,1,1,2,6,26,1,-1,no
246,48,1,1,0,554,0,0,16,6,263,8,-1,no
247,38,0,0,1,-51,0,1,30,4,102,1,-1,no
248,50,7,1,1,0,0,0,31,5,35,9,-1,no
249,59,10,1,1,0,0,0,13,10,78,1,216,no
250,34,6,1,1,1813,0,0,4,8,370,5,-1,no
251,30,9,2,1,-123,0,1,21,1,120,2,-1,no
252,60,7,1,0,808,0,0,18,1,393,3,-1,no
253,45,1,1,0,804,1,0,16,8,528,1,-1,no
254,34,1,1,1,205,1,1,7,5,309,1,-1,no
255,40,7,1,1,1185,1,0,11,8,94,1,-1,no
256,27,7,2,1,44,0,0,7,11,11,1,-1,no
257,34,9,0,3,975,1,0,30,4,263,2,191,no
258,42,9,0,2,802,0,0,28,4,119,2,-1,no
259,33,4,1,2,322,1,0,16,0,77,3,-1,no
260,55,3,0,2,6920,1,0,6,8,406,3,-1,no
261,30,7,1,0,997,1,0,28,5,76,3,-1,no
262,35,4,1,2,178,0,0,14,1,76,2,-1,no
263,24,1,2,1,1690,1,1,15,8,543,3,350,no
264,31,9,1,1,7,0,0,6,1,116,6,-1,no
265,37,1,1,1,1590,0,0,12,6,305,2,-1,no
266,37,1,1,1,453,1,1,23,8,98,1,-1,no
267,51,4,1,2,401,0,0,19,1,80,6,-1,no
268,31,4,2,2,98,0,0,11,1,69,2,-1,no
269,45,1,1,3,458,1,1,11,5,145,2,-1,no
270,41,9,1,1,1190,0,0,25,1,69,4,-1,no
271,37,0,1,1,1049,0,0,31,5,126,5,-1,no
272,53,4,1,1,2693,0,0,21,9,140,1,-1,no
273,44,9,0,2,9192,1,0,6,6,59,3,-1,no
274,36,4,1,2,287,1,1,15,5,119,5,-1,no
275,44,9,0,1,268,0,0,17,6,108,6,-1,no
276,43,9,1,1,-705,1,0,27,1,125,6,-1,no
277,29,0,2,1,315,1,0,2,6,121,4,-1,no
278,34,1,1,1,2139,1,0,15,8,1452,1,-1,yes
279,46,1,1,1,519,1,0,25,1,217,6,-1,no
280,48,7,1,0,337,0,0,25,1,770,12,-1,no
281,45,9,1,1,1395,1,0,11,1,243,4,-1,no
282,50,1,1,1,3988,0,0,30,6,165,4,-1,no
283,51,3,1,0,339,0,0,4,11,313,1,-1,no
284,32,7,1,1,2833,1,0,30,7,415,1,-1,no
285,53,1,1,0,1100,1,0,17,6,714,2,-1,no
286,27,9,2,1,643,0,0,13,5,317,1,-1,no
287,41,4,1,2,9935,0,0,21,9,49,1,-1,no
288,32,4,2,2,3,1,0,13,8,568,1,-1,no
289,25,8,2,2,20,0,0,8,11,127,2,-1,no
290,26,8,2,2,5169,1,0,25,8,397,1,35,no
291,52,6,1,2,4012,0,0,31,1,634,3,92,yes
292,40,2,1,1,0,1,1,15,8,435,1,-1,no
293,35,2,0,1,-69,1,0,5,8,300,1,-1,no
294,33,1,1,0,-342,1,0,28,8,528,2,-1,no
295,40,4,1,1,0,1,0,12,8,223,4,258,no
296,37,4,1,2,142,0,0,20,6,553,2,-1,no
297,43,10,2,2,408,0,0,14,5,568,8,-1,no
298,35,4,1,0,3369,0,0,20,9,322,1,-1,no
299,34,1,2,1,215,0,0,3,7,350,3,-1,no
300,40,4,1,2,60,0,0,16,6,172,6,-1,no
301,53,1,1,1,175,1,0,8,8,49,4,-1,no
302,29,1,1,1,247,0,1,6,3,204,2,214,no
303,40,9,1,1,4298,0,0,2,6,221,1,-1,no
304,57,1,1,0,5949,1,0,8,0,123,1,-1,no
305,25,8,2,1,331,0,0,26,1,170,4,-1,no
306,45,10,1,1,2468,1,0,29,5,64,2,-1,no
307,42,9,1,1,219,1,1,7,1,186,3,-1,no
308,34,1,1,0,174,1,0,8,8,405,3,-1,no
309,51,4,0,2,1267,1,0,30,8,254,2,-1,no
310,56,4,1,2,5282,0,0,17,9,113,1,-1,no
311,52,9,1,1,0,1,1,14,8,77,2,-1,no
312,32,9,0,2,3628,0,0,18,1,130,2,-1,no
313,53,7,2,1,4778,1,0,14,8,83,1,-1,no
314,33,1,1,1,3576,1,0,2,0,124,1,308,no
315,37,9,1,1,1016,1,1,20,9,195,3,8,no
316,34,1,1,0,0,1,1,20,6,34,29,-1,no
317,35,9,2,2,0,1,0,6,1,411,2,-1,no
318,64,5,1,2,2139,0,0,13,4,230,1,91,no
319,36,0,2,2,2317,1,0,19,9,56,2,-1,no
320,36,10,1,1,-35,0,0,30,4,339,3,-1,no
321,24,0,2,1,1052,0,0,30,0,354,1,-1,no
322,32,1,1,1,5164,0,0,21,9,253,1,-1,no
323,53,4,0,2,3370,0,0,21,10,180,1,334,no
324,45,7,1,1,24,1,0,15,5,192,3,-1,no
325,35,1,0,1,275,0,1,10,5,144,5,-1,no
326,29,4,1,2,620,1,0,18,6,72,3,-1,no
327,48,1,2,1,-269,0,0,2,3,167,1,263,no
328,37,9,1,1,5380,0,0,25,1,123,6,-1,no
329,41,9,1,1,563,1,0,13,1,69,4,-1,no
330,55,2,0,1,1553,0,0,30,5,85,3,-1,no
331,31,4,1,2,2,1,0,17,5,234,1,-1,no
332,34,1,2,2,1011,1,0,6,8,136,1,-1,no
333,34,4,1,2,557,1,0,29,4,354,1,197,no
334,41,1,1,0,168,1,0,18,9,187,3,-1,no
335,37,4,0,2,2519,1,0,19,9,58,1,-1,no
336,27,6,0,1,165,1,0,6,3,1160,2,192,yes
337,39,7,0,1,-421,1,1,18,5,374,17,-1,no
338,40,1,1,1,1808,1,0,12,8,560,1,-1,no
339,58,5,1,0,1,0,0,26,1,112,4,-1,no
340,30,1,1,0,597,1,0,23,8,190,1,-1,no
341,58,5,1,1,624,1,0,12,8,393,1,-1,no
342,32,0,2,1,457,0,0,26,5,109,3,455,no
343,59,0,1,1,1365,0,0,19,6,327,1,-1,no
344,48,7,1,3,1155,1,0,16,8,557,4,-1,no
345,29,4,2,2,2907,1,0,26,8,150,1,-1,no
346,43,9,1,1,1824,1,0,8,8,296,1,-1,no
347,37,0,1,1,960,0,0,18,9,50,3,-1,no
348,52,1,1,0,1515,0,0,7,1,20,4,-1,no
349,55,10,2,0,5,1,0,30,8,63,2,-1,no
350,32,4,2,2,23,0,0,22,8,137,2,-1,no
351,35,0,1,1,2238,1,0,23,8,42,3,-1,no
352,32,6,1,0,-6,0,0,23,8,881,2,-1,yes
353,37,1,1,0,61,1,0,16,5,156,3,-1,no
354,32,1,1,1,363,1,0,13,8,431,1,-1,no
355,34,4,2,2,1,0,0,19,9,582,1,-1,yes
356,55,5,1,1,971,0,1,8,5,154,1,-1,no
357,44,9,0,2,245,1,0,2,3,347,2,-1,no
358,56,4,0,2,659,0,1,2,6,56,1,-1,no
359,43,0,1,1,544,1,0,7,8,187,1,-1,no
360,44,7,0,1,51,1,1,27,8,3094,2,-1,yes
361,56,6,1,1,1539,0,0,28,1,149,14,-1,no
362,35,1,1,0,453,1,0,21,8,312,2,-1,no
363,39,1,1,1,360,1,0,29,4,325,2,260,no
364,28,6,1,1,-228,1,1,7,5,164,3,-1,no
365,45,3,1,0,2239,0,0,29,5,24,2,-1,no
366,34,9,1,1,1569,0,0,11,1,149,2,-1,no
367,55,4,1,2,543,0,0,7,1,61,2,-1,no
368,55,0,1,1,51,0,0,20,1,94,2,-1,no
369,37,1,1,0,106,1,0,25,1,511,1,392,no
370,59,5,1,1,278,0,0,12,1,141,3,-1,no
371,60,5,1,3,3875,1,0,29,4,55,1,-1,no
372,55,9,1,1,741,1,0,15,8,973,2,-1,no
373,38,0,1,1,0,0,0,5,8,151,1,-1,no
374,35,0,1,1,220,1,0,2,3,153,4,244,no
375,34,4,2,2,417,1,0,16,11,99,2,135,no
376,58,9,1,3,1617,1,0,5,3,109,4,274,no
377,48,1,1,1,333,1,0,14,8,24,6,-1,no
378,31,1,1,0,50,1,0,8,8,300,2,-1,no
379,38,1,1,1,566,1,1,17,0,318,2,332,no
380,39,4,0,2,1315,1,0,19,9,1337,4,126,yes
381,58,4,0,2,26254,1,0,21,10,49,1,-1,no
382,33,9,1,3,1450,0,0,27,0,81,1,-1,no
383,39,9,2,1,0,0,0,25,1,194,9,-1,no
384,40,9,1,2,103,1,0,8,8,135,2,-1,no
385,37,10,2,1,0,1,0,11,8,125,1,-1,no
386,42,9,1,1,3501,0,0,28,1,23,22,-1,no
387,31,4,1,1,55,0,0,7,1,124,3,-1,no
388,30,9,2,1,518,1,0,2,6,21,1,-1,no
389,29,9,2,1,28,0,0,9,3,96,2,-1,no
390,45,1,1,3,0,0,0,4,1,408,1,-1,no
391,38,4,1,2,14190,1,0,31,5,48,3,-1,no
392,36,0,2,1,11174,1,0,15,0,953,1,-1,yes
393,32,10,2,1,8304,0,0,2,1,486,1,286,yes
394,34,7,2,1,194,1,1,15,0,149,1,268,no
395,21,8,2,1,1746,0,0,21,1,487,2,-1,no
396,29,1,1,1,-478,0,1,8,5,528,2,-1,no
397,40,9,2,1,159,1,0,18,9,37,1,-1,no
398,34,4,2,2,1012,1,1,15,8,109,3,-1,no
399,32,1,2,1,395,1,1,20,0,339,1,-1,no
400,47,0,0,1,-364,1,1,9,6,240,2,-1,no
401,44,1,1,1,3060,1,0,20,9,113,1,189,no
402,41,9,2,1,879,0,1,7,5,60,4,-1,no
403,53,7,0,1,0,0,1,3,5,172,10,-1,no
404,44,2,1,0,276,1,1,15,8,219,1,-1,no
405,63,3,1,2,1528,0,0,18,4,309,2,95,no
406,30,4,2,2,47,0,1,31,5,11,17,-1,no
407,27,10,2,1,3276,0,0,5,1,106,1,110,no
408,33,9,1,1,557,0,0,4,8,367,1,-1,no
409,26,1,2,1,786,1,1,14,8,103,5,-1,no
410,53,9,1,1,-3,0,0,5,8,1666,1,-1,yes
411,49,4,1,2,271,1,0,5,3,18,6,-1,no
412,42,1,0,0,78,1,0,7,8,227,2,-1,no
413,54,4,1,2,37176,0,0,21,9,206,1,-1,no
414,27,2,2,2,0,1,0,4,6,103,2,-1,no
415,28,9,1,1,1944,1,0,18,8,21,7,-1,no
416,55,0,1,1,0,0,0,23,11,180,2,238,no
417,34,9,1,2,297,1,0,29,4,375,2,-1,no
418,22,8,2,1,2488,0,0,8,9,449,2,38,no
419,58,9,1,2,1692,1,0,17,5,517,5,-1,no
420,34,4,2,0,212,0,0,27,8,88,1,-1,no
421,50,4,1,1,125,1,1,14,8,8,5,-1,no
422,46,9,0,2,477,1,0,6,8,114,1,-1,no
423,48,3,1,0,380,1,0,22,5,188,5,-1,no
424,51,5,0,0,43,0,0,24,5,212,2,-1,no
425,39,4,0,1,-17,0,0,16,0,316,1,146,no
426,33,4,1,2,0,1,0,23,8,57,5,-1,no
427,79,5,1,1,4738,0,0,9,5,151,5,-1,no
428,33,9,2,1,9,0,1,25,1,145,8,-1,no
429,43,4,1,2,62,1,0,23,5,212,3,-1,no
430,32,4,2,1,388,0,0,4,8,846,2,-1,yes
431,53,9,1,1,944,1,0,23,5,799,4,-1,no
432,57,5,1,1,0,0,1,30,6,104,2,-1,no
433,24,8,2,1,23878,0,0,18,3,185,1,-1,no
434,48,0,1,1,811,0,1,8,1,149,2,-1,no
435,55,4,0,2,25,0,0,16,6,404,3,-1,no
436,44,1,1,1,1786,1,0,15,8,452,2,-1,no
437,58,3,1,0,4605,0,0,4,1,197,1,-1,no
438,63,5,0,0,109,0,0,10,9,406,2,-1,no
439,56,4,1,1,238,1,0,19,9,808,1,-1,no
440,26,7,2,1,531,1,1,6,3,184,1,-1,no
441,32,2,1,2,28,0,0,5,1,287,1,-1,no
442,37,4,2,2,171,1,1,7,1,250,3,-1,no
443,24,1,2,1,171,1,0,21,8,151,2,-1,no
444,60,4,1,1,0,0,0,20,8,321,4,87,no
445,31,10,2,1,3528,0,0,5,3,132,1,-1,no
446,33,4,2,2,5437,0,0,10,1,131,1,98,no
447,23,10,2,1,-503,1,0,5,8,92,1,342,no
448,39,4,1,1,18,1,0,21,1,102,1,91,no
449,28,7,1,1,1214,0,0,28,8,582,1,-1,no
450,50,7,1,1,1134,0,0,18,6,53,2,-1,no
451,36,4,1,2,255,0,0,25,1,242,6,95,no
452,50,2,1,2,-168,1,0,23,5,1327,2,-1,yes
453,55,4,1,0,57,0,1,21,5,162,2,-1,no
454,59,0,1,1,6264,0,0,22,1,353,16,-1,no
455,52,11,1,1,142,0,0,25,1,112,6,-1,no
456,57,9,0,2,0,1,0,31,5,24,16,-1,no
457,50,0,1,1,663,1,0,20,0,630,3,-1,no
458,27,1,2,1,-289,1,1,5,8,94,5,-1,no
459,42,1,1,1,1958,1,0,18,9,129,1,172,no
460,23,4,2,2,377,0,0,28,1,7,1,-1,no
461,39,7,1,1,9374,1,0,20,8,273,1,-1,no
462,57,1,1,1,25,1,0,13,8,378,2,359,no
463,56,4,1,2,935,1,0,8,8,209,2,172,no
464,40,9,0,1,0,0,0,19,1,60,2,-1,no
465,38,4,0,1,257,1,0,30,0,435,1,-1,no
466,37,4,0,1,1655,1,0,12,8,178,1,175,no
467,31,7,2,1,2251,1,1,17,5,134,1,-1,no
468,25,9,2,1,266,0,1,15,6,74,1,-1,no
469,32,4,2,2,1310,0,0,12,1,418,3,-1,no
470,32,4,1,2,3154,0,0,3,6,126,1,44,no
471,43,9,0,1,1612,0,0,28,1,119,2,95,no
472,56,5,1,1,450,0,0,17,9,16,1,-1,no
473,60,9,1,2,91,0,0,27,1,105,4,-1,no
474,33,9,1,1,5083,0,0,12,0,175,1,-1,no
